feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week9-14	4.75330172952021	0.346144686940511	280	192	3.77694593154051e-31	8.38481996801992e-29
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week18	5.3358223611116	0.399589621596337	280	192	1.91707475407053e-30	2.12795297701828e-28
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week9-14	4.00447899207279	0.299824553793759	280	267	1.15769067768085e-29	8.56691101483827e-28
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week18	4.55542135198179	0.347451473911261	280	267	2.51643864470454e-29	1.39662344781102e-27
a48efa77549a0058f29816ef3038a36e	Age_group	Week9-14	-3.0265069604383	0.244787727156069	280	141	9.02036541333142e-27	4.00504224351915e-25
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week9-14	-3.18090353376023	0.284617848134609	280	272	5.65428780092873e-23	2.09208648634363e-21
a48efa77549a0058f29816ef3038a36e	Age_group	Week18	-3.09833435625311	0.28335648320515	280	141	1.38239581553797e-22	4.21924419833522e-21
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week18	-3.63782467959673	0.331214158668243	280	272	1.52044835976044e-22	4.21924419833522e-21
a48efa77549a0058f29816ef3038a36e	Age_group	Week6	-2.6043439144571	0.24069364579714	280	141	5.94251949420408e-22	1.46582147523701e-20
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week9-14	-1.98746046559373	0.219575892304236	280	280	1.20400018309474e-16	2.67288040647033e-15
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week18	1.7893802696762	0.204287185185374	280	173	4.89657019652628e-16	9.88216894208032e-15
c4a7d3b208ece70a26268344fbb93c52	Age_group	Week6	2.58119466412037	0.294758326915351	280	267	8.02744887887309e-16	1.48507804259152e-14
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week6	-1.84753625809073	0.215801238361243	280	280	2.9489051618079e-15	5.03582266093348e-14
X5a1b49ed2eeb1f595a07330646fa90d6	Age_group	Week6	-2.34153195497174	0.279614578097134	280	272	8.76778313611537e-15	1.39031989729829e-13
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week9-14	-2.2603937645968	0.272582296348033	280	208	1.39468581937145e-14	2.06413501266975e-13
f27c18211f38a2b8824f2a0ffa75d352	Age_group	Week6	2.76430354293755	0.340498459598273	280	192	3.92982456596194e-14	5.45263158527219e-13
X7c60bd2ffe3eed870549edc57875acf8	Age_group	Week6	2.29679930712161	0.296030855265652	280	195	3.83153565141747e-13	5.00353479185105e-12
f3b97a44d007c4a516573a5f19987ac2	Age_group	Week18	-1.96402255086956	0.254926921106898	280	280	4.89910426875763e-13	6.04222859813441e-12
X46a9bce4deb54b24813583e0f9fb9cca	Age_group	Week18	-2.43100865595653	0.31679409016604	280	208	5.62834131861387e-13	6.57627248806463e-12
X6c6dc0a7cd6856d4d841ce4192a2a325	Age_group	Week9-14	1.90022349163873	0.264250413768406	280	126	1.0756941088565e-11	1.19402046083072e-10
a1008f2cef2fbdb6e9e4d8e6baae6b6a	Age_group	Week9-14	1.20326990614415	0.176212969763803	280	173	8.85236205713065e-11	9.35821131753812e-10
f5e7b0432a0779c0c404e9453474c530	Age_group	Week9-14	-1.58548811883905	0.283506672230779	280	280	6.89828425786246e-08	6.96099593293393e-07
