feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week9-14	4.70928516951157	0.336041031920042	280	186	5.69389456111316e-32	5.66518848340221e-30
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week9-14	4.16435778450701	0.292975009974866	280	263	2.90928717605683e-32	5.66518848340221e-30
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week18	4.7400542517677	0.340103684783587	280	263	7.65566011270569e-32	5.66518848340221e-30
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week18	5.16804023248342	0.388673889275328	280	186	3.72014507996446e-30	2.06468051938028e-28
a48efa77549a0058f29816ef3038a36e	TimePoint	Week9-14	-2.83614816214713	0.240897890642865	280	134	6.06448505682833e-25	2.69263136523178e-23
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week18	-3.66439340156143	0.335715907833968	280	270	2.188594551842e-22	8.09779984181541e-21
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week9-14	-3.16077056078898	0.288813480638624	280	270	2.68128593008129e-22	8.50350680682924e-21
a48efa77549a0058f29816ef3038a36e	TimePoint	Week18	-2.95708190333674	0.277409894672929	280	134	8.15011760759709e-22	2.26165763610819e-20
a48efa77549a0058f29816ef3038a36e	TimePoint	Week6	-2.40924083384791	0.237055774648342	280	134	5.63294794737989e-20	1.38946049368704e-18
c4a7d3b208ece70a26268344fbb93c52	TimePoint	Week6	2.74010225213572	0.287944038625022	280	263	5.87962071583029e-18	1.30527579891432e-16
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week9-14	-1.91184197095043	0.210734412837263	280	280	1.01868467145007e-16	2.05589088238105e-15
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week6	-1.780659475455	0.207095955489405	280	280	2.26633777504654e-15	4.19272488383609e-14
X5a1b49ed2eeb1f595a07330646fa90d6	TimePoint	Week6	-2.41702241618452	0.283791700218468	280	270	3.44801061950654e-15	5.88814121177271e-14
f27c18211f38a2b8824f2a0ffa75d352	TimePoint	Week6	2.7362289361465	0.330462179826725	280	186	1.46679630858936e-14	2.32591986076313e-13
f3b97a44d007c4a516573a5f19987ac2	TimePoint	Week18	-1.99199594156496	0.244775205350795	280	280	3.28192688232519e-14	4.85725178584129e-13
X9179082205356f48318aba87639426b1	TimePoint	Week9-14	-2.1375713004399	0.270354505605029	280	200	1.54959331325159e-13	2.15006072213658e-12
X6c6dc0a7cd6856d4d841ce4192a2a325	TimePoint	Week9-14	1.90755649915733	0.243468059251812	280	130	2.19587044312271e-13	2.86754846101907e-12
X7c60bd2ffe3eed870549edc57875acf8	TimePoint	Week6	2.17689739439905	0.280662700145849	280	190	3.88138017255574e-13	4.78703554615208e-12
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week18	1.48692099644087	0.194015789603711	280	161	5.79329710399388e-13	6.76901030045601e-12
X9179082205356f48318aba87639426b1	TimePoint	Week18	-2.27079524540082	0.313190532759232	280	200	6.94976402870148e-12	7.71423807185864e-11
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week9-14	1.12200292381233	0.166851469755958	280	161	1.63027353726035e-10	1.7234320251038e-09
X7c60bd2ffe3eed870549edc57875acf8	TimePoint	Week9-14	1.65962382468048	0.285664310998713	280	190	2.31040683787717e-08	2.33141053640332e-07
X6c6dc0a7cd6856d4d841ce4192a2a325	TimePoint	Week18	1.56935165773814	0.281616965472657	280	130	7.08610575710655e-08	6.83963251338111e-07
a1008f2cef2fbdb6e9e4d8e6baae6b6a	TimePoint	Week6	0.905003352952388	0.163940546796304	280	161	9.97011805559007e-08	9.22235920142082e-07
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week9-14	-1.54819284626633	0.288443685355193	280	280	2.09388277539294e-07	1.85936790454893e-06
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week6	-1.24399169488186	0.23655235665527	280	115	2.93078057972169e-07	2.50243572576237e-06
X6c6dc0a7cd6856d4d841ce4192a2a325	TimePoint	Week6	1.18786314133546	0.239424048921061	280	130	1.43953728390338e-06	1.15151413447728e-05
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week6	-1.40702926541139	0.283638400135287	280	280	1.45236016961098e-06	1.15151413447728e-05
a009250174a6396c22cbd6d4883ace66	TimePoint	Week18	1.38295050147122	0.283755712207515	280	273	2.09679682161971e-06	1.60513411861923e-05
X43577e578520b2867697731105874b5d	TimePoint	Week9-14	-1.39918137694076	0.290003701742562	280	257	2.71677832800435e-06	2.01041596272322e-05
c0a64c29b86aa9015d95d6ac55f9ddaa	TimePoint	Week6	-1.26570326377174	0.263749694587215	280	240	3.08468643540589e-06	2.2090335118068e-05
X43577e578520b2867697731105874b5d	TimePoint	Week6	-1.31904944248179	0.285046903836075	280	257	6.55430945894599e-06	4.54705218714378e-05
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week18	0.974059503021847	0.213999915214736	280	280	8.91562215056976e-06	5.99778217401966e-05
db35c906865fb1665ab2ed219d1e567e	TimePoint	Week9-14	0.829959210058059	0.1838598360143	280	280	1.06713625521923e-05	6.96777201937261e-05
X40d3ced278c1560950b676bcd978b0c7	TimePoint	Week6	-1.11129357996037	0.256629322410711	280	215	2.29768163916703e-05	0.000145738663970023
X7c60bd2ffe3eed870549edc57875acf8	TimePoint	Week18	1.38721650569703	0.332295243820236	280	190	4.32031753664938e-05	0.000266419581426712
f27c18211f38a2b8824f2a0ffa75d352	BirthMode	CSR	1.54735114843997	0.365188213174888	280	186	5.75118354940282e-05	0.00034507101296417
X8479c5090e759d6b0f74da1bd0933311	TimePoint	Week6	-1.0832231824818	0.274390404557298	280	265	0.000108264348028817	0.000632491717431509
X9179082205356f48318aba87639426b1	TimePoint	Week6	-1.02328883791115	0.265800960615749	280	200	0.000157892978876578	0.000898775418220519
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week9-14	-0.90361718103515	0.240265115416286	280	115	0.000207145460308622	0.00114965730471285
X821f41a7282e6bb21a9a11e3eb1c351b	TimePoint	Week9-14	-0.582641770137259	0.15581173872294	280	75	0.000224756049190942	0.00121697177854607
X3ae2a2aa07a75cd4a126c14bb16e1a7f	TimePoint	Week18	-0.955429032679482	0.25583792737031	280	124	0.000244852571587426	0.00129422073553354
X264d967e6d61a657b841b0165db6464d	TimePoint	Week18	0.662667404451129	0.185399308266002	280	51	0.000429741067855174	0.00221866318753136
X40d3ced278c1560950b676bcd978b0c7	TimePoint	Week9-14	-0.918296381524083	0.261054499455332	280	215	0.000531859386873814	0.00268347236104515
X8479c5090e759d6b0f74da1bd0933311	TimePoint	Week9-14	-0.928698036663461	0.279269540579292	280	265	0.00104390201395565	0.0051499166021812
X8f20e8d05e62fad83c0accad82df42af	TimePoint	Week9-14	-0.783811419886924	0.236853383663405	280	275	0.00110835525377799	0.00534901883345032
X6b44f80875b0a520f1a73d534bc76eba	TimePoint	Week6	0.409321663330237	0.125437367132236	280	35	0.00127701262350987	0.00603184685998279
X8f20e8d05e62fad83c0accad82df42af	TimePoint	Week6	-0.755038982340655	0.23264610888749	280	275	0.0013748397618849	0.00635863389871768
X306e31ae31e2479962fd9f5e95660548	TimePoint	Week18	0.648587325644065	0.201852035606881	280	71	0.00150746465221887	0.00682973781209363
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week6	-1.33542940917155	0.424823145386686	280	252	0.00191954354589747	0.00852277334378477
X9179082205356f48318aba87639426b1	Sex	M	0.764952897115766	0.244344410785252	280	200	0.00226212247443807	0.00984688606520099
X031576b29e776dff6924cd6319f5840f	BirthMode	CSR	-0.618755185071843	0.199036509022013	280	95	0.00260057200398179	0.0111024420169992
X438fb020cf251f2c2f4e89552e4a78ff	TimePoint	Week9-14	-1.31031287244074	0.432411135744841	280	252	0.00275911548404225	0.0115570497633468
d0b02d08734bda73b7c53f4164fedc19	TimePoint	Week6	-0.41433551220772	0.138215048864389	280	65	0.00305686276298768	0.0125671024700605
X94e1ce4bbbed8aed7c95d0a0b492b4e9	TimePoint	Week18	-0.803077031130311	0.2757313693491	280	115	0.00388139791039012	0.0156667333837565
X031576b29e776dff6924cd6319f5840f	BirthMode	CS	-0.573114637998311	0.193277063182489	280	95	0.0040550998089175	0.0160755742424944
c0a64c29b86aa9015d95d6ac55f9ddaa	TimePoint	Week9-14	-0.770351604781854	0.268375381722883	280	240	0.00452886751698889	0.0176387471714304
X5467dddfc6f0c07ff660f571f4d731ad	TimePoint	Week9-14	0.290884506491235	0.101585978415202	280	31	0.0046499135442685	0.0177979449453036
f5e7b0432a0779c0c404e9453474c530	TimePoint	Week18	-0.950574842946872	0.333747756406659	280	280	0.00480417757856895	0.0180767359735984
X264d967e6d61a657b841b0165db6464d	TimePoint	Week9-14	0.436911080795134	0.160097506712422	280	51	0.00688512471522499	0.0251806677995355
fc4f1910689e1f8d5f98a11f522acb7b	TimePoint	Week6	0.381960312630539	0.140035386499063	280	118	0.0069190123232958	0.0251806677995355
f3b97a44d007c4a516573a5f19987ac2	Sex	M	-0.561394776106645	0.204795952110803	280	280	0.00715909534265669	0.0256341800978998
X968a697c6d9d2af8d415a6516efde56c	BirthMode	CSR	-0.754515304056708	0.276607519018546	280	179	0.0077522579265448	0.0273174803125864
